"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Turkmenistan","TKM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","9619","9512","9386","9253","9136","9025","8914","8818","8728","8630","8539","8459","8392","8338","8276","8186","8039","7836","7547","7200","6828","6455","6106","5783","5488","5223","4982","4778","4625","4546","4535","4585","4679","4806","4935","5055","5142","5194","5204","5181","5104","4979","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","506765","487317","467686","447633","427536","407498","387797","368613","350890","332475","314489","297943","282203","267278","253307","240293","228394","217715","208139","199633","199167","184968","178704","172864","167363","162416","162452","154213","148939","143844","",
"Timor-Leste","TLS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","4135","4075","4026","3985","3947","3900","3840","3760","3660","3544","3420","3297","3181","3069","2964","2859","2743","2618","2482","2339","2195","2054","1928","1820","1725","1651","1593","1548","1520","1498","1481","1463","1443","1424","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","390710","373207","356191","339514","323368","307907","293386","279911","267347","255908","245689","236539","228613","221778","215918","210934","206865","203515","200719","198596","197226","196352","195633","194356","192509","190064","186647","182595","178537","173886","",
"Tonga","TON","Number of infant deaths","SH.DTH.IMRT","","","","","174","166","158","148","138","128","118","109","102","95","91","87","84","82","81","79","78","76","74","72","70","68","66","63","61","58","56","54","52","51","49","47","46","45","44","43","43","42","42","42","42","42","42","42","42","41","41","40","40","39","38","38","37","37","36","36","",
"South Asia (IDA & IBRD)","TSA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3369555","3299174","3229598","3160550","3089877","3016738","2940765","2861750","2779357","2695659","2611233","2526216","2442280","2360315","2280741","2199734","2118223","2033977","1946870","1857858","1768337","1681033","1597597","1519449","1447048","1380565","1318896","1261364","1207447","1157349","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2324059","2350975","2378571","2405732","2433726","2454025","2468274","2478341","2480890","2473473","2458052","2435790","2407899","2377459","2345962","2313011","2282480","2250145","2218669","2188277","2161426","2134590","2110241","2089280","2069826","2049955","2028743","2006569","1982588","1960819","",
"Trinidad and Tobago","TTO","Number of infant deaths","SH.DTH.IMRT","1733","1689","1634","1567","1492","1410","1329","1256","1194","1146","1113","1092","1078","1070","1063","1057","1052","1049","1049","1049","1047","1040","1024","1000","969","929","883","834","784","735","690","648","610","576","546","521","501","486","475","468","465","463","462","460","457","454","448","441","433","423","412","398","384","368","354","339","323","307","292","277","",
"Tunisia","TUN","Number of infant deaths","SH.DTH.IMRT","","","","32875","31773","30664","29489","28323","27128","25916","24742","23670","22636","21618","20618","19621","18654","17706","16809","15980","15214","14525","13874","13263","12683","12115","11541","10980","10412","9850","9280","8701","8133","7566","7003","6457","5935","5435","4976","4559","4192","3876","3619","3404","3237","3108","3018","2968","2953","2963","2991","3024","3057","3080","3089","3081","3062","3030","2979","2908","",
"Turkey","TUR","Number of infant deaths","SH.DTH.IMRT","206813","202810","198369","193802","189230","185315","181865","178940","176464","174235","172108","169864","167397","164577","161184","157356","153135","148704","144051","139234","134165","128824","123126","117136","110938","104620","98424","92445","86781","81555","76842","72588","68654","65052","61653","58424","55285","52140","49067","45987","42937","39976","37109","34380","31840","29496","27309","25331","23479","21809","20284","18933","17683","16560","15540","14594","13712","12861","12048","11272","",
"Tuvalu","TUV","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","8","9","9","10","11","11","12","12","12","13","12","12","12","12","11","11","10","10","10","9","9","9","9","8","8","8","8","8","8","8","8","8","8","7","7","7","7","7","7","7","6","6","6","6","",
"Tanzania","TZA","Number of infant deaths","SH.DTH.IMRT","67835","69180","70560","71821","73090","74277","75392","76443","77568","78718","79776","80840","81906","82878","83804","84663","85422","86192","87005","88027","89541","91548","93895","96459","98998","101306","103182","104763","106097","107182","108326","109544","110781","111871","112799","113457","113723","113324","112193","110267","107556","104375","100984","97826","95020","92434","90560","88218","86811","84677","83265","81863","80698","79955","79274","78802","77917","76587","75417","74787","",
"Uganda","UGA","Number of infant deaths","SH.DTH.IMRT","42370","42883","43468","44116","44808","45591","46336","47091","47937","48909","50130","51555","53221","55231","57594","60324","63406","66694","70003","73092","76086","78129","79348","80046","80731","81719","83036","84605","86338","87996","89332","90392","91401","92459","93863","95517","97172","98447","99142","99089","98121","96369","93974","90984","87651","84330","81280","78297","75460","73485","71250","69245","66046","64523","62388","60622","58846","57195","55624","54462","",
"Ukraine","UKR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","19551","19169","18788","18434","18112","17842","17575","17305","16976","16567","16050","15468","14815","14114","13402","12695","12021","11409","10865","10390","9969","9583","9204","8799","8346","7855","7350","6850","6397","6028","5750","5555","5436","5369","5341","5317","5255","5136","4964","4751","4518","4280","4042","3809","3583","3366","3162","2972","",
"Upper middle income","UMC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2179246","2070198","1950635","1829823","1715405","1612450","1521648","1439849","1364106","1292828","1221588","1153902","1088051","1026506","976111","917201","868899","823664","781657","742201","705518","673312","643532","614721","586601","558942","537186","508024","482759","459326","",
"Uruguay","URY","Number of infant deaths","SH.DTH.IMRT","3122","3093","3038","2980","2933","2898","2876","2856","2825","2778","2742","2736","2762","2812","2867","2885","2823","2676","2461","2208","1962","1753","1592","1482","1414","1367","1320","1269","1220","1177","1140","1110","1086","1066","1045","1017","978","931","883","838","800","770","744","712","673","629","583","540","501","470","445","428","413","400","385","368","349","329","309","289","",
"United States","USA","Number of infant deaths","SH.DTH.IMRT","109268","106072","102465","98515","94307","89981","85616","81246","76946","72784","68814","65082","61575","58261","55163","52311","49768","47560","45697","44142","42870","41843","41017","40365","39863","39458","39100","38724","38278","37689","36927","35987","34882","33688","32486","31347","30337","29500","28857","28385","28070","27904","27845","27839","27836","27770","27593","27269","26796","26195","25523","24829","24175","23594","23109","22725","22444","22234","22023","21779","",
"Uzbekistan","UZB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","50919","49415","48043","46816","45653","44586","43571","42762","42188","41847","41735","41673","41461","40827","39809","38486","36924","35127","33209","31217","29301","27505","25914","24623","23533","22644","21862","21129","20388","19590","18726","17831","16907","15985","15039","14097","13158","12287","11479","10751","",
"St. Vincent and the Grenadines","VCT","Number of infant deaths","SH.DTH.IMRT","434","412","382","349","315","283","256","234","217","205","198","194","194","195","194","190","182","170","156","141","127","114","103","92","82","74","68","62","58","55","52","50","49","48","47","46","46","45","44","43","42","41","39","38","38","37","36","35","34","33","31","30","29","27","26","25","24","23","22","21","",
"Venezuela, RB","VEN","Number of infant deaths","SH.DTH.IMRT","20907","20833","20793","20785","20795","20826","20814","20752","20622","20410","20139","19818","19495","19208","18977","18753","18532","18274","17973","17617","17220","16829","16480","16181","15930","15702","15435","15101","14695","14248","13803","13407","13094","12862","12682","12476","12167","11767","11335","11501","10549","10271","10044","9810","9535","9255","9006","8814","8699","8662","8673","8697","8728","8773","8827","9236","11586","11328","11095","10891","",
"British Virgin Islands","VGB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Number of infant deaths","SH.DTH.IMRT","","","","","","81996","82414","82896","83485","84018","84532","84962","85152","85096","84764","84174","83380","82440","81498","80717","80101","79598","79326","79121","78896","78494","77846","76858","75446","73581","71212","68220","64593","60315","55755","50981","46394","42121","38398","35299","32878","31081","29718","28764","28140","27725","27533","27463","27469","27494","27532","27544","27527","27515","27473","27353","27076","26624","25987","25210","",
"Vanuatu","VUT","Number of infant deaths","SH.DTH.IMRT","320","320","318","315","310","304","298","291","285","279","273","268","263","260","257","254","251","247","243","237","230","222","213","202","192","183","174","167","161","156","152","149","146","144","142","142","141","147","143","144","146","148","151","154","158","162","166","171","176","181","187","191","195","198","199","198","197","194","192","190","",
"World","WLD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8715276","8536539","8348437","8157822","7971658","7785729","7603235","7422860","7239166","7047614","6850071","6650171","6449871","6255328","6074943","5886419","5712815","5540583","5376311","5206676","5054562","4892864","4746532","4609580","4480240","4357263","4242591","4123282","4010099","3904341","",
"Samoa","WSM","Number of infant deaths","SH.DTH.IMRT","396","392","388","383","377","370","362","352","340","327","314","301","289","277","265","255","244","234","225","216","207","198","190","182","174","166","159","152","146","140","135","130","125","121","117","113","109","106","102","98","95","91","88","86","85","85","84","84","84","89","82","81","79","76","74","71","69","66","64","62","",
"Kosovo","XKX","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Number of infant deaths","SH.DTH.IMRT","","","","78326","78339","78082","77548","76706","75550","74243","72826","71439","69999","68637","67277","65832","64305","62726","61169","59664","58338","57019","55815","54769","53968","53405","53132","53112","53263","53505","53751","53915","53913","53762","53426","52878","52135","51152","49840","48332","46750","45130","43546","42039","40661","39330","38091","36882","35732","34791","34383","34522","34969","35452","35892","36559","36805","37066","37517","37667","",
"South Africa","ZAF","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","77783","75283","73006","71022","69263","67752","66288","64880","63442","61848","60093","58181","56056","53826","51634","49613","47895","46635","45897","45587","45641","45820","45927","46161","46756","47064","47640","48286","49539","51577","52491","52684","50953","47523","42665","38519","36445","35693","35098","34772","34130","33693","33480","32882","32341","",
"Zambia","ZMB","Number of infant deaths","SH.DTH.IMRT","17928","18238","18540","18853","19185","19570","20006","20487","20945","21358","21695","21928","22100","22249","22440","22730","23187","23790","24504","25279","26119","26965","27912","29022","30330","31774","33287","34752","36085","37208","38223","39027","39752","40194","40551","40780","41072","41410","41650","41635","41156","39996","38348","36536","34494","32589","31358","30821","30003","29524","29009","28746","28546","28257","27869","27765","27552","26915","26866","26739","",
"Zimbabwe","ZWE","Number of infant deaths","SH.DTH.IMRT","16363","16500","16619","16692","16716","16728","16787","16892","17083","17378","17765","18254","18838","19492","20205","20961","21671","22303","22730","22884","22741","22267","21584","20766","19939","19213","18647","18337","18180","18208","18402","18713","19117","19555","19961","20363","20428","20200","19848","19422","19138","19092","19285","19647","20450","21293","22633","23770","24522","24938","24585","24050","22552","21710","20871","20014","19029","18293","17413","16769","",
